la_name,region_name,region_code,Row Labels,LA_susp_rate,Region_susp_rate,NonSEND_susp_rate,LA_oneplus_rate,REG_Total_susp_rate,NonSEND_oneplus_rate,LA_perm_excl_rate,REG_Overrepresentation,NonSEND_perm_excl_rate,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,Total_susp_rate,Overrepresentation,Regions,REG_SEND_pct_students,NonSEND_Headcount
South Tyneside,North East,E12000001,E08000023,0.11509054325955734,,0.036304003619090704,0.05070422535211268,,0.019396064238859985,0.004225352112676056,,0.0007916760913820402,1094,3876,21,572,252,4970,22654,1214,35,595,0.219,0.115,0.054,2.148,,,17684
Sunderland,North East,E12000001,E08000024,0.3156870377578824,,0.10424582353295941,0.09588685610483975,,0.03362282130148966,0.007266121707538601,,0.0010252698872203125,1682,6025,56,2433,739,7707,40869,5890,90,1854,0.189,0.316,0.144,2.19,,,33162
Birmingham,West Midlands,E12000005,E08000025,0.16901563532261615,,0.05375355291757231,0.07476326800264259,,0.031558267848185925,0.0042942083241576745,,0.0007464112546874626,7535,28793,156,6140,2716,36328,203796,15142,281,8001,0.178,0.169,0.074,2.275,,,167468
Coventry,West Midlands,E12000005,E08000026,0.23026430946963067,,0.05957833065148327,0.09338351129004026,,0.029500350703469902,0.003325748293366007,,0.0008458142509386475,2095,9331,38,2631,1067,11426,59900,5519,79,2497,0.191,0.23,0.092,2.499,,,48474
Dudley,West Midlands,E12000005,E08000027,0.18681066176470587,,0.06190512643854143,0.07743566176470588,,0.029702212355507924,0.004940257352941176,,0.0010462119472300902,2193,6511,43,1626,674,8704,47893,4052,84,1838,0.182,0.187,0.085,2.208,,,39189
Sandwell,West Midlands,E12000005,E08000028,0.1497857421114141,,0.04407454938992855,0.07226334242306194,,0.025418047388281264,0.002239968835216206,,0.0004980175072308311,2314,7954,23,1538,742,10268,62475,3839,49,2069,0.164,0.15,0.061,2.438,,,52207
Solihull,West Midlands,E12000005,E08000029,0.22071881606765328,,0.058408408408408406,0.08343904157857646,,0.02762762762762763,0.004228329809725159,,0.001051051051051051,1555,5540,30,1566,592,7095,40395,3511,65,1512,0.176,0.221,0.087,2.539,,,33300
Walsall,West Midlands,E12000005,E08000030,0.13120920455802634,,0.043782477892241774,0.061289965704170814,,0.022837086334214603,0.0018807390198030756,,0.0006837450998267846,2155,6884,17,1186,554,9039,52915,3107,47,1556,0.171,0.131,0.059,2.235,,,43876
Wolverhampton,West Midlands,E12000005,E08000031,0.16403529138611564,,0.04114459029435163,0.0675644299976782,,0.022150954653937946,0.003947062920826561,,0.0008949880668257757,1981,6633,34,1413,582,8614,48838,3068,70,1473,0.176,0.164,0.063,2.611,,,40224
Bradford,Yorkshire and The Humber,E12000003,E08000032,0.3711287286830548,,0.14492105867146637,0.10038213654251982,,0.04509379945157822,0.0046198596931500595,,0.0008214246886438037,3921,13612,81,6507,1760,17533,100316,18504,149,5493,0.175,0.371,0.184,2.012,,,82783
