LA_REG_Overrepresentation,LA_REG_SEND_pct_students,LA_REG_SEND_susp_rate,LA_REG_Total_susp_rate,Overrepresentation,REG_Overrepresentation,REG_SEND_pct_students,REG_SEND_susp_rate,REG_Total_susp_rate,Regions,Row Labels,SEND one_plus_susp,SEND perm_excl,SEND suspensions,SEND_pct_students,SEND_susp_rate,Sum of SEN_EHC,Sum of SEN_Support,Total Headcount,Total One Plus Suspensions,Total Permanent Exclusion,Total Suspension,Total_SEND Headcount,Total_susp_rate,la_name,region_code,region_name
,,,,2.494,,,,,,E08000015,817,31,1945,0.203,0.188,2462,7896,50914,1777,60,3833,10358,0.075,Wirral,E12000002,North West
,,,,2.161,,,,,,E08000016,635,53,2499,0.158,0.451,1483,4063,35191,1787,93,7338,5546,0.209,Barnsley,E12000003,Yorkshire and The Humber
,,,,2.115,,,,,,E08000017,915,34,4026,0.164,0.512,1550,6312,48053,2760,82,11633,7862,0.242,Doncaster,E12000003,Yorkshire and The Humber
,,,,2.405,,,,,,E08000018,800,36,2596,0.202,0.286,2056,7034,45062,1781,62,5352,9090,0.119,Rotherham,E12000003,Yorkshire and The Humber
,,,,2.578,,,,,,E08000019,1696,68,5707,0.185,0.364,3341,12340,84792,4069,134,11972,15681,0.141,Sheffield,E12000003,Yorkshire and The Humber
,,,,1.684,,,,,,E08000021,692,21,2050,0.173,0.281,1919,5379,42140,2308,61,7028,7298,0.167,Newcastle upon Tyne,E12000001,North East
,,,,2.056,,,,,,E08000022,429,36,1080,0.174,0.198,1648,3810,31311,1143,87,3014,5458,0.096,North Tyneside,E12000001,North East
,,,,2.148,,,,,,E08000023,252,21,572,0.219,0.115,1094,3876,22654,595,35,1214,4970,0.054,South Tyneside,E12000001,North East
,,,,2.19,,,,,,E08000024,739,56,2433,0.189,0.316,1682,6025,40869,1854,90,5890,7707,0.144,Sunderland,E12000001,North East
,,,,2.275,,,,,,E08000025,2716,156,6140,0.178,0.169,7535,28793,203796,8001,281,15142,36328,0.074,Birmingham,E12000005,West Midlands
,,,,2.499,,,,,,E08000026,1067,38,2631,0.191,0.23,2095,9331,59900,2497,79,5519,11426,0.092,Coventry,E12000005,West Midlands
,,,,2.208,,,,,,E08000027,674,43,1626,0.182,0.187,2193,6511,47893,1838,84,4052,8704,0.085,Dudley,E12000005,West Midlands
,,,,2.438,,,,,,E08000028,742,23,1538,0.164,0.15,2314,7954,62475,2069,49,3839,10268,0.061,Sandwell,E12000005,West Midlands
,,,,2.539,,,,,,E08000029,592,30,1566,0.176,0.221,1555,5540,40395,1512,65,3511,7095,0.087,Solihull,E12000005,West Midlands
,,,,2.235,,,,,,E08000030,554,17,1186,0.171,0.131,2155,6884,52915,1556,47,3107,9039,0.059,Walsall,E12000005,West Midlands
,,,,2.611,,,,,,E08000031,582,34,1413,0.176,0.164,1981,6633,48838,1473,70,3068,8614,0.063,Wolverhampton,E12000005,West Midlands
,,,,2.012,,,,,,E08000032,1760,81,6507,0.175,0.371,3921,13612,100316,5493,149,18504,17533,0.184,Bradford,E12000003,Yorkshire and The Humber
,,,,2.301,,,,,,E08000033,519,42,1725,0.162,0.292,1515,4385,36458,1711,80,4632,5900,0.127,Calderdale,E12000003,Yorkshire and The Humber
,,,,2.78,,,,,,E08000034,1029,59,3376,0.164,0.305,2417,8643,67238,2596,88,7382,11060,0.11,Kirklees,E12000003,Yorkshire and The Humber
,,,,2.191,,,,,,E08000035,1741,8,5169,0.175,0.225,3317,19636,131359,4971,19,13500,22953,0.103,Leeds,E12000003,Yorkshire and The Humber
,,,,2.161,,,,,,E08000036,890,15,3088,0.176,0.322,2278,7322,54568,2397,45,8124,9600,0.149,Wakefield,E12000003,Yorkshire and The Humber
,,,,2.167,,,,,,E08000037,383,30,1413,0.175,0.281,1257,3775,28791,1144,66,3730,5032,0.13,Gateshead,E12000001,North East
,,,,0.0,,,,,,E09000001,0,0,0,0.247,0.0,8,59,271,1,0,1,67,0.004,City of London,E13000001,Inner London
,,,,2.651,,,,,,E09000002,261,6,503,0.156,0.071,1625,5471,45399,786,18,1214,7096,0.027,Barking and Dagenham,E13000002,Outer London
,,,,2.441,,,,,,E09000003,513,10,1093,0.145,0.121,2628,6380,62026,1880,19,3083,9008,0.05,Barnet,E13000002,Outer London
,,,,2.54,,,,,,E09000004,527,15,1263,0.148,0.195,1810,4661,43641,1505,49,3353,6471,0.077,Bexley,E13000002,Outer London
,,,,2.502,,,,,,E09000005,430,8,850,0.149,0.119,2025,5127,48149,1395,28,2287,7152,0.047,Brent,E13000002,Outer London
,,,,2.593,,,,,,E09000006,523,18,1105,0.168,0.124,2384,6542,53174,1272,48,2539,8926,0.048,Bromley,E13000002,Outer London
,,,,2.506,,,,,,E09000007,227,9,456,0.187,0.113,1004,3038,21565,584,17,971,4042,0.045,Camden,E13000001,Inner London
,,,,2.464,,,,,,E09000008,787,13,1616,0.18,0.156,2522,7865,57794,2150,24,3649,10387,0.063,Croydon,E13000002,Outer London
,,,,2.486,,,,,,E09000009,433,24,863,0.15,0.106,2512,5652,54463,1415,53,2316,8164,0.043,Ealing,E13000002,Outer London
,,,,2.332,,,,,,E09000010,564,2,1263,0.163,0.138,2989,6185,56227,1893,8,3320,9174,0.059,Enfield,E13000002,Outer London
,,,,2.344,,,,,,E09000011,587,2,1192,0.191,0.141,1729,6747,44409,1524,9,2664,8476,0.06,Greenwich,E13000002,Outer London
,,,,2.109,,,,,,E09000012,543,13,1176,0.202,0.173,1907,4896,33615,1508,33,2755,6803,0.082,Hackney,E13000001,Inner London
,,,,1.916,,,,,,E09000013,215,3,373,0.171,0.109,1275,2146,19980,766,12,1137,3421,0.057,Hammersmith and Fulham,E13000001,Inner London
,,,,2.033,,,,,,E09000014,348,2,691,0.173,0.106,1896,4636,37825,1208,2,1968,6532,0.052,Haringey,E13000001,Inner London
,,,,2.827,,,,,,E09000015,267,15,513,0.136,0.097,1483,3827,39158,817,26,1338,5310,0.034,Harrow,E13000002,Outer London
,,,,2.969,,,,,,E09000016,330,7,684,0.125,0.129,1626,3659,42213,1005,21,1840,5285,0.044,Havering,E13000002,Outer London
,,,,2.685,,,,,,E09000017,470,11,1072,0.154,0.131,2323,5870,53068,1378,42,2586,8193,0.049,Hillingdon,E13000002,Outer London
