time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,ass_nodecision,ass_nodecision_ehc,ass_none,ass_none_ehc,ass_none_ehc_pc,ass_refused,ass_refused_ehc,ass_refused_ehc_pc,assessment_mediation,assessment_tribunal,assessment_w,assessments,direct_pay_education,direct_pay_health,direct_pay_integrated,direct_pay_socialcare,discontinued_abroad,discontinued_age,discontinued_deceased,discontinued_employment,discontinued_unknown,discontinued_engage,discontinued_he,discontinued_lea,discontinued_lea_ehc,discontinued_lea_noncomp,discontinued_left,discontinued_left_ehc,discontinued_met,discontinued_met_ehc,discontinued_met_noncomp,discontinued_other,discontinued_other_ehc,discontinued_other_noncomp,discontinued_total,inc_exc_20week_ehc,inc_exc_20week_rate,inc_exc_26week,inreq_ehc,inreq_ehc_a,inreq_ehc_w,inreq_ehc_y,inreq_rya_ehc,mainstream_to_home,mainstream_to_home_ehc,mainstream_to_special,mainstream_to_special_ehc,new_all_ehc,new_all_ehc_ass_none_ehc_sum,new_all_ehc_pc,no_exc_20week_ehc,no_exc_20week_rate,no_exc_26week,org_arrangements,other_mediation,other_tribunal,total_tribunal,personal_budgets,request_mediation,request_tribunal,special_to_home,special_to_home_ehc,special_to_mainstream,special_to_mainstream_ehc,statements_no_ehc,statements_to_ehc,tot_inc_exc,tot_inc_exc_ehc,tot_no_exc,tot_no_exc_ehc,total_mediation,total_tribunal_followed_mediation,total_tribunal_pc
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000018,313,Hounslow,z,,z,26,7.1429,z,188,32.8671,5,9,1,365,23,0,0,0,19,12,2,7,0,104,3,z,68,22,z,z,z,5,8,z,0,0,250,312,92.5816,z,572,49,15,320,0,z,z,z,z,338,364,92.86,284,94.0397,z,23,3,0,28,23,38,19,z,z,z,z,z,z,z,337,z,302,46,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E10000032,938,West Sussex,z,,z,24,3.0809,z,717,36.8448,1,5,11,790,67,0,14,608,4,26,8,1,0,265,5,z,19,4,z,z,z,8,13,z,0,0,353,25,3.5714,z,1946,71,0,1158,0,z,z,z,z,755,779,96.92,25,3.5714,z,0,0,0,122,689,4,117,z,z,z,z,z,z,z,700,z,700,5,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000006,305,Bromley,z,,z,18,3.01,z,319,37.7962,5,1,0,598,11,0,4,0,0,0,1,0,0,70,3,z,9,0,z,z,z,4,0,z,0,0,87,165,28.5962,z,844,31,2,492,0,z,z,z,z,580,598,96.99,164,34.8936,z,11,0,0,27,26,44,26,z,z,z,z,z,z,z,577,z,470,49,,z
2023,Calendar year,Local authority,E92000001,England,E12000006,East of England,E06000034,883,Thurrock,z,,z,9,2.9221,z,163,31.8359,1,4,2,310,0,0,0,0,5,3,1,21,0,42,7,z,28,2,z,z,z,3,3,z,0,3,118,262,88.5135,z,512,36,0,313,0,z,z,z,z,299,308,97.08,262,88.5135,z,0,5,0,5,7,9,1,z,z,z,z,z,z,z,296,z,296,15,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000036,867,Bracknell Forest,z,,z,0,0,z,108,31.2139,1,2,0,270,1,1,5,5,0,3,1,11,0,27,1,z,18,5,z,z,z,1,0,z,0,0,67,102,39.8438,z,346,18,0,220,0,z,z,z,z,270,270,100,102,40.3162,z,12,0,0,4,12,23,2,z,z,z,z,z,z,z,256,z,253,24,,z
2023,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,330,Birmingham,z,,z,21,1.7241,z,840,33.2278,58,34,4,1223,36,0,0,270,5,173,4,8,0,858,10,z,216,96,z,z,z,6,21,z,2,0,1399,652,58.8979,z,2528,193,5,1490,2,z,z,z,z,1197,1218,98.28,603,60.5422,z,12,67,53,127,60,376,40,z,z,z,z,z,z,z,1107,z,996,501,,z
2023,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E06000051,893,Shropshire,z,,z,22,3.0812,z,117,12.7036,9,2,6,720,7,4,5,82,4,2,2,21,0,42,3,z,31,32,z,z,z,0,40,z,1,0,178,253,37.988,z,921,111,0,693,2,z,z,z,z,692,714,96.92,250,38.3436,z,2,5,4,9,100,50,3,z,z,z,z,z,z,z,666,z,652,64,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000028,210,Southwark,z,,z,10,2.2173,z,301,37.8616,0,2,0,451,17,0,0,0,15,26,2,6,0,13,28,z,61,25,z,z,z,1,16,z,0,0,193,74,19.2208,z,795,21,3,470,0,z,z,z,z,441,451,97.78,74,19.2208,z,0,2,11,28,17,62,15,z,z,z,z,z,z,z,385,z,385,64,,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,z,,z,89,20.6977,z,109,19.7464,27,11,0,430,3,0,0,0,1,1,3,48,0,72,15,z,51,17,z,z,z,2,3,z,0,17,230,329,99.0964,z,552,14,4,425,0,z,z,z,z,341,430,79.3,329,99.3958,z,0,19,12,26,13,8,3,z,z,z,z,z,z,z,332,z,331,54,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,z,,z,31,4.6687,z,360,37.7754,26,20,0,664,15,0,0,0,2,1,2,67,0,51,19,z,11,14,z,z,z,2,17,z,0,14,200,33,6.5217,z,953,18,3,572,0,z,z,z,z,633,664,95.33,33,6.5217,z,15,0,0,22,15,82,2,z,z,z,z,z,z,z,506,z,506,108,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000041,872,Wokingham,z,,z,55,13.9594,z,95,21.2528,8,8,0,394,12,0,0,0,1,0,0,5,0,42,9,z,23,5,z,z,z,2,11,z,0,0,98,188,61.039,z,447,36,4,312,0,z,z,z,z,339,394,86.04,159,71.6216,z,0,7,1,19,12,28,10,z,z,z,z,z,z,z,308,z,222,43,,z
