new_la_code,la_name,region_code,region_name,headcount,TTperm_excl,TTperm_excl_rate,TTsuspension,TTsusp_rate,TTone_plus_susp,TTone_plus_susp_rate,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E09000014,Haringey,E13000001,Inner London,37825.0,2.0,0.00529,1968.0,5.20291,1208.0,3.19365,0,0.0,199,10.49578059,99,5.221518987,1896.0,,
E09000014,Haringey,E13000001,Inner London,37825.0,2.0,0.00529,1968.0,5.20291,1208.0,3.19365,0,0.0,1277,4.08078484,860,2.748218451,,,31293.0
E09000014,Haringey,E13000001,Inner London,37825.0,2.0,0.00529,1968.0,5.20291,1208.0,3.19365,2,0.043140638,492,10.61259707,249,5.371009491,,4636.0,
E09000019,Islington,E13000001,Inner London,23557.0,12.0,0.05094,1813.0,7.69623,878.0,3.72713,1,0.067980965,177,12.03263086,75,5.0985724,1471.0,,
E09000019,Islington,E13000001,Inner London,23557.0,12.0,0.05094,1813.0,7.69623,878.0,3.72713,3,0.078534031,692,18.11518325,279,7.303664921,,3820.0,
E09000019,Islington,E13000001,Inner London,23557.0,12.0,0.05094,1813.0,7.69623,878.0,3.72713,8,0.043797219,944,5.168071827,524,2.868717836,,,18266.0
E09000020,Kensington and Chelsea,E13000001,Inner London,13239.0,18.0,0.13596,1386.0,10.46907,706.0,5.33273,2,0.256410256,108,13.84615385,55,7.051282051,780.0,,
E09000020,Kensington and Chelsea,E13000001,Inner London,13239.0,18.0,0.13596,1386.0,10.46907,706.0,5.33273,4,0.24434942,394,24.06841784,173,10.5681124,,1637.0,
E09000020,Kensington and Chelsea,E13000001,Inner London,13239.0,18.0,0.13596,1386.0,10.46907,706.0,5.33273,12,0.110885234,884,8.168545555,478,4.416928479,,,10822.0
E09000022,Lambeth,E13000001,Inner London,36066.0,7.0,0.01941,1988.0,5.51212,1158.0,3.21078,0,0.0,258,12.39788563,129,6.198942816,2081.0,,
E09000022,Lambeth,E13000001,Inner London,36066.0,7.0,0.01941,1988.0,5.51212,1158.0,3.21078,2,0.041017227,603,12.36669401,313,6.419196062,,4876.0,
E09000022,Lambeth,E13000001,Inner London,36066.0,7.0,0.01941,1988.0,5.51212,1158.0,3.21078,5,0.017176818,1127,3.871654815,716,2.459720361,,,29109.0
E09000023,Lewisham,E13000001,Inner London,37966.0,17.0,0.04478,2121.0,5.58658,1270.0,3.3451,0,0.0,277,13.85,142,7.1,2000.0,,
E09000023,Lewisham,E13000001,Inner London,37966.0,17.0,0.04478,2121.0,5.58658,1270.0,3.3451,5,0.091024941,570,10.37684326,316,5.752776261,,5493.0,
E09000023,Lewisham,E13000001,Inner London,37966.0,17.0,0.04478,2121.0,5.58658,1270.0,3.3451,12,0.039379123,1274,4.180750172,812,2.664653956,,,30473.0
E09000025,Newham,E13000001,Inner London,63442.0,40.0,0.06305,2483.0,3.91381,1446.0,2.27925,3,0.15641293,176,9.176225235,93,4.848800834,1918.0,,
E09000025,Newham,E13000001,Inner London,63442.0,40.0,0.06305,2483.0,3.91381,1446.0,2.27925,11,0.175019889,512,8.14638027,260,4.136833731,,6285.0,
E09000025,Newham,E13000001,Inner London,63442.0,40.0,0.06305,2483.0,3.91381,1446.0,2.27925,26,0.047068195,1795,3.249515741,1093,1.978674487,,,55239.0
