la_name,region_name,region_code,Row Labels,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,LA_susp_rate,REG_susp_rate,SEND one_plus_susp rate,LA_one_plus_rate,REG_one_plus_rate,SEND exclusion rate,LA_excl_rate,REG_excl_rate,LA_Overrepresentation,REG_Overrepresentation,
Walsall,West Midlands,E12000005,E08000030,2155,6884,17,1186,554,9039,52915,3107,47,1556,0.171,0.131,0.059,0.209,0.061,0.029,0.07995205,0.002,0.001,0.001298713,2.235,2.446,
Wolverhampton,West Midlands,E12000005,E08000031,1981,6633,34,1413,582,8614,48838,3068,70,1473,0.176,0.164,0.063,0.209,0.068,0.03,0.07995205,0.004,0.001,0.001298713,2.611,2.446,
Bradford,Yorkshire and The Humber,E12000003,E08000032,3921,13612,81,6507,1760,17533,100316,18504,149,5493,0.175,0.371,0.184,0.31,0.1,0.055,0.09166672,0.005,0.001,0.003528862,2.012,2.327,
Calderdale,Yorkshire and The Humber,E12000003,E08000033,1515,4385,42,1725,519,5900,36458,4632,80,1711,0.162,0.292,0.127,0.31,0.088,0.047,0.09166672,0.007,0.002,0.003528862,2.301,2.327,
Kirklees,Yorkshire and The Humber,E12000003,E08000034,2417,8643,59,3376,1029,11060,67238,7382,88,2596,0.164,0.305,0.11,0.31,0.093,0.039,0.09166672,0.005,0.001,0.003528862,2.78,2.327,
Leeds,Yorkshire and The Humber,E12000003,E08000035,3317,19636,8,5169,1741,22953,131359,13500,19,4971,0.175,0.225,0.103,0.31,0.076,0.038,0.09166672,0,0,0.003528862,2.191,2.327,
Wakefield,Yorkshire and The Humber,E12000003,E08000036,2278,7322,15,3088,890,9600,54568,8124,45,2397,0.176,0.322,0.149,0.31,0.093,0.044,0.09166672,0.002,0.001,0.003528862,2.161,2.327,
Gateshead,North East,E12000001,E08000037,1257,3775,30,1413,383,5032,28791,3730,66,1144,0.175,0.281,0.13,0.314,0.076,0.04,0.085951252,0.006,0.002,0.004858915,2.167,2.131,
City of London,Inner London,E13000001,E09000001,8,59,0,0,0,67,271,1,0,1,0.247,0,0.004,0.113,0,0.004,0.058475913,0,0,0.001038012,0,2.139,
Barking and Dagenham,Outer London,E13000002,E09000002,1625,5471,6,503,261,7096,45399,1214,18,786,0.156,0.071,0.027,0.125,0.037,0.017,0.05951261,0.001,0,0.001804263,2.651,2.663,
Barnet,Outer London,E13000002,E09000003,2628,6380,10,1093,513,9008,62026,3083,19,1880,0.145,0.121,0.05,0.125,0.057,0.03,0.05951261,0.001,0,0.001804263,2.441,2.663,
Bexley,Outer London,E13000002,E09000004,1810,4661,15,1263,527,6471,43641,3353,49,1505,0.148,0.195,0.077,0.125,0.081,0.034,0.05951261,0.002,0.001,0.001804263,2.54,2.663,
Brent,Outer London,E13000002,E09000005,2025,5127,8,850,430,7152,48149,2287,28,1395,0.149,0.119,0.047,0.125,0.06,0.029,0.05951261,0.001,0.001,0.001804263,2.502,2.663,
Bromley,Outer London,E13000002,E09000006,2384,6542,18,1105,523,8926,53174,2539,48,1272,0.168,0.124,0.048,0.125,0.059,0.024,0.05951261,0.002,0.001,0.001804263,2.593,2.663,
Camden,Inner London,E13000001,E09000007,1004,3038,9,456,227,4042,21565,971,17,584,0.187,0.113,0.045,0.113,0.056,0.027,0.058475913,0.002,0.001,0.001038012,2.506,2.139,
Croydon,Outer London,E13000002,E09000008,2522,7865,13,1616,787,10387,57794,3649,24,2150,0.18,0.156,0.063,0.125,0.076,0.037,0.05951261,0.001,0,0.001804263,2.464,2.663,
Ealing,Outer London,E13000002,E09000009,2512,5652,24,863,433,8164,54463,2316,53,1415,0.15,0.106,0.043,0.125,0.053,0.026,0.05951261,0.003,0.001,0.001804263,2.486,2.663,
Enfield,Outer London,E13000002,E09000010,2989,6185,2,1263,564,9174,56227,3320,8,1893,0.163,0.138,0.059,0.125,0.061,0.034,0.05951261,0,0,0.001804263,2.332,2.663,
Greenwich,Outer London,E13000002,E09000011,1729,6747,2,1192,587,8476,44409,2664,9,1524,0.191,0.141,0.06,0.125,0.069,0.034,0.05951261,0,0,0.001804263,2.344,2.663,
Hackney,Inner London,E13000001,E09000012,1907,4896,13,1176,543,6803,33615,2755,33,1508,0.202,0.173,0.082,0.113,0.08,0.045,0.058475913,0.002,0.001,0.001038012,2.109,2.139,
Hammersmith and Fulham,Inner London,E13000001,E09000013,1275,2146,3,373,215,3421,19980,1137,12,766,0.171,0.109,0.057,0.113,0.063,0.038,0.058475913,0.001,0.001,0.001038012,1.916,2.139,
Haringey,Inner London,E13000001,E09000014,1896,4636,2,691,348,6532,37825,1968,2,1208,0.173,0.106,0.052,0.113,0.053,0.032,0.058475913,0,0,0.001038012,2.033,2.139,
Harrow,Outer London,E13000002,E09000015,1483,3827,15,513,267,5310,39158,1338,26,817,0.136,0.097,0.034,0.125,0.05,0.021,0.05951261,0.003,0.001,0.001804263,2.827,2.663,
Havering,Outer London,E13000002,E09000016,1626,3659,7,684,330,5285,42213,1840,21,1005,0.125,0.129,0.044,0.125,0.062,0.024,0.05951261,0.001,0,0.001804263,2.969,2.663,
Hillingdon,Outer London,E13000002,E09000017,2323,5870,11,1072,470,8193,53068,2586,42,1378,0.154,0.131,0.049,0.125,0.057,0.026,0.05951261,0.001,0.001,0.001804263,2.685,2.663,
Hounslow,Outer London,E13000002,E09000018,1975,6098,35,1014,481,8073,45866,2320,57,1332,0.176,0.126,0.051,0.125,0.06,0.029,0.05951261,0.004,0.001,0.001804263,2.483,2.663,
Islington,Inner London,E13000001,E09000019,1471,3820,4,869,354,5291,23557,1813,12,878,0.225,0.164,0.077,0.113,0.067,0.037,0.058475913,0.001,0.001,0.001038012,2.134,2.139,
Kensington and Chelsea,Inner London,E13000001,E09000020,780,1637,6,502,228,2417,13239,1386,18,706,0.183,0.208,0.105,0.113,0.094,0.053,0.058475913,0.002,0.001,0.001038012,1.984,2.139,
Kingston upon Thames,Outer London,E13000002,E09000021,1199,2844,5,220,121,4043,27065,467,10,309,0.149,0.054,0.017,0.125,0.03,0.011,0.05951261,0.001,0,0.001804263,3.154,2.663,
