new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,245,,
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,,762,
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,,,2303
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,2,,
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,382,,
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,,878,
E06000011,East Riding of Yorkshire,state-funded secondary,18,19991,54,0.27012,3310,16.55745,1278,6.39288,,,2363
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,108,,
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,,120,
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,,,84
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,88,,
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,,499,
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,,,1312
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,,0,
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,31,,
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,227,,
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,,619,
E06000032,Luton,state-funded primary,47,23155,1,0.00432,312,1.34744,149,0.64349,,,1396
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,108,,
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,,120,
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,,,84
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,88,,
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,,499,
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,,,1312
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,,0,
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,31,,
